"ID","Priority","Status","Title","Notes"
"P0-1","P0","done","Fix project card links (Deep Dive vs View on GitHub)","Fixed: 5 personal cards → View on GitHub → with repo URLs; 3 R Systems → badge + TODO comment."
"P0-2","P0","done","Stats counters render 0%","Fixed: rootMargin loosened from -50px to 0px so observer fires on scroll."
"P0-3","P0","done","Fix og:url meta tag","Currently tanayanand.github.io, should be https://tanayanand12.github.io/"
"P1-4","P1","done","Add Research section above Experience","Fixed: Research section with 3 timeline items inserted; nav link added."
"P1-5","P1","done","Rewrite AI-tell paragraphs (hero, About, Contact CTA)","Fixed: hero bio, About last sentence, Contact heading + subtext."
"P1-6","P1","done","Update Certifications: add Anthropic certs, link GCP","Fixed: GCP linked, Anthropic cert entry added with Drive link."
"P2-7","P2","done","Build POPPER case-study page","projects/popper.html created; project card added to grid with Deep Dive → link."
"P2-8","P2","done","Build SalesWhiz case-study page","projects/saleswhiz.html created; project card added to grid with Deep Dive → link."
"P2-9","P2","done","Build MRA case-study page","projects/mra.html created; existing card updated with Deep Dive → link and research tag."
"P2-10","P2","done","Wire or remove Send Message form","Removed form; replaced with mailto, LinkedIn, and GitHub direct links."
"P3-11","P3","open","Lighthouse + a11y pass",""
"P3-12","P3","open","Add /uses or /now page",""
